company_name,company_name_wics,stock_code,corp_code,fiscal_year,wics_large_code,wics_large,wics_index_code,wics_index_name,wics_date,revenue,revenue_prev,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,operating_cash_flow,investing_cash_flow,financing_cash_flow,revenue_growth_yoy,operating_margin,roe,debt_ratio,current_ratio,ocf_to_revenue
SKAI,SKAI,357880,01381984,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,16414865507.0,,1182836785.0,1165301276.0,35244667105.0,1836174019.0,33408493086.0,29878812380.0,1419051490.0,-2670987186.0,-13901499054.0,25631935503.0,,0.07205887763719952,0.03488039023491082,0.05496129425153445,21.055481489258717,-0.16271757967562858
SK아이이테크놀로지,SK아이이테크놀로지,361610,01386916,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,603767421000.0,,89175689000.0,95350272000.0,3184524107000.0,968322606000.0,2216201501000.0,1239411876000.0,500951546000.0,109401204000.0,-1192527619000.0,1111042806000.0,,0.14769874275809924,0.04302418889120679,0.4369289550445079,2.474115282997849,0.18119759396557436
SK하이닉스,SK하이닉스,000660,00164779,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,42997792000000.0,,12410340000000.0,9616188000000.0,96386474000000.0,34195416000000.0,62191058000000.0,26870451000000.0,14769356000000.0,19797648000000.0,-22392277000000.0,4492313000000.0,,0.28862737881982403,0.15462332221458588,0.5498445773345744,1.819338026654649,0.4604340613583135
TJ미디어,TJ미디어,032540,00201733,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,61854165085.0,,2825653678.0,3209896142.0,114204444188.0,33649034062.0,80555410126.0,38285233647.0,17938460879.0,3246912971.0,-3239837445.0,-480528243.0,,0.04568251263462996,0.03984705852753118,0.4177129010871917,2.1342540982331064,0.05249303691251982
가비아,가비아,079940,00506294,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,200442777990.0,,33094800987.0,24998708890.0,302957884046.0,98368306710.0,204589577336.0,155727188807.0,58783389703.0,40918497641.0,-41060142402.0,-13627698504.0,,0.16510847294608483,0.12218955244696708,0.4808080059154163,2.6491699371846957,0.20414054350734157
가온그룹,가온그룹,078890,00441304,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,533118640853.0,,28380970996.0,18805853948.0,383404843014.0,200681768277.0,182723074737.0,341178900012.0,199324744318.0,-35863396313.0,-7079560325.0,19201524899.0,,0.053235750583753565,0.1029199731619444,1.0982836654092463,1.7116735866355248,-0.06727094789936042
가온칩스,가온칩스,399720,01364747,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,,,,,,,,,,,,,,,,,,
강원에너지,강원에너지,114190,00100601,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,,,,,,,,,,,,,,,,,,
갤럭시아머니트리,갤럭시아머니트리,094480,00587457,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,94461899630.0,,7873663623.0,-282266686.0,316916029802.0,207694904642.0,109221125160.0,269815083118.0,184636699942.0,-25241770957.0,-4013794322.0,18743064428.0,,0.0833527978353234,-0.002584359807560144,1.9016001193701675,1.4613296446630444,-0.2672164232973302
경인전자,경인전자,009140,00102140,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,27390668647.0,,1998761089.0,3699859217.0,65884752780.0,6287918773.0,59596834007.0,49553740456.0,5027688473.0,627247774.0,-9275910577.0,-325346750.0,,0.07297233648288162,0.062081472592410356,0.1055075974717289,9.856167644856384,0.022900053375246834
고영,고영,098460,00579999,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,247301342081.0,,41351274821.0,39586268577.0,368329267167.0,87929904850.0,280399362317.0,272142026690.0,47498158914.0,42480322829.0,-12063397303.0,-7334975076.0,,0.1672100704065568,0.1411781690581968,0.31358810563410827,5.729527899865327,0.17177554505582174
광무,광무,029480,00186452,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,18919929734.0,,-724747537.0,-758184748.0,104044336098.0,53084090522.0,50960245576.0,83816980460.0,50644186641.0,-1066560925.0,6926273734.0,62665835894.0,,-0.038306037453067,-0.014877964959357871,1.0416765053228125,1.6550168147462025,-0.05637235127165087
