company_name,stock_code,corp_code,fiscal_year,wics_large,wics_index_name,revenue,revenue_prev,revenue_growth_yoy,operating_income,operating_income_prev,operating_income_growth_yoy,operating_margin,net_income,net_income_prev,net_income_growth_yoy,roe,total_assets,total_liabilities,total_equity,debt_ratio,current_assets,current_liabilities,current_ratio,operating_cash_flow,investing_cash_flow,financing_cash_flow,ocf_to_revenue,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,data_provider
강원에너지,114190,00100601,2025,IT,WICS 기술하드웨어와장비,212251840367.0,224422425036.0,-0.0542306976098653,-6095759149.0,6771969120.0,-1.9001457391465482,-0.0287194642857275,-8467202799.0,-582114193.0,13.54560445496645,-0.1322237008230608,146635666875.0,82598714753.0,64036952122.0,1.2898601825339384,79832243393.0,61701203114.0,1.2938522972639743,34821336776.0,-19624186528.0,-170551742.0,0.1640567013025243,20260327,181127,2658156,14106440,wics_local_fallback
갤럭시아머니트리,094480,00587457,2025,IT,WICS 소프트웨어와서비스,129700193187.0,128772392051.0,0.0072049693356053,18393923568.0,13220798774.0,0.391286856598518,0.1418187831183866,8197880274.0,557296160.0,13.710096466482023,0.0692263992925531,398965262947.0,280543961857.0,118421301090.0,2.369032929673581,344079675456.0,270886994951.0,1.270196361838041,-1520083474.0,-1624319769.0,6966578279.0,-0.0117199784876832,20260327,149171,365226,17653427,wics_local_fallback
경인전자,009140,00102140,2025,IT,WICS 전자와 전기제품,36073854759.0,22942422096.0,0.5723647053503326,1024070598.0,-1271401075.0,-1.8054662042817606,0.0283881665777485,3827628783.0,2560127735.0,0.49509289348017627,0.0476102411666085,87287055386.0,6891983040.0,80395072346.0,0.0857264361967192,69257997593.0,4705679877.0,14.717957745386173,4731327319.0,-28771367366.0,-492964163.0,0.1311566881501509,20260327,11715,1554136,518363,wics_local_fallback
고영,098460,00579999,2025,IT,WICS 기술하드웨어와장비,232647218656.0,202538127214.0,0.148658881446983,17342338477.0,3322352718.0,4.219896846906669,0.074543502291523,14756087568.0,20998990602.0,-0.29729538682708917,0.0440262577111429,410335212878.0,75169601828.0,335165611050.0,0.2242759977448468,308322946324.0,61510896686.0,5.012493118055534,18090229309.0,-18473867719.0,-14952750860.0,0.0777582015100245,20260327,1461934,2658156,53550708,wics_local_fallback
광무,029480,00186452,2025,IT,WICS 소프트웨어와서비스,7572016042.0,6526887723.0,0.160126596833754,-4228353350.0,-4708785371.0,-0.10202886374028365,-0.5584184352682859,-29092745553.0,104172205343.0,-1.2792755078689992,-0.1347340586884217,231440995571.0,15513814009.0,215927181562.0,0.0718474343840099,155721839529.0,9342858538.0,16.66747269003764,-15639955276.0,-16095240616.0,-7445889403.0,-2.065494207784194,20260327,109295,365226,49566879,wics_local_fallback
광전자,017900,00152729,2025,IT,WICS 기술하드웨어와장비,132685277641.0,130189190329.0,0.019172769303597,1204703470.0,1473042384.0,-0.18216645828705497,0.0090794057292438,4226529140.0,10620128567.0,-0.6020265561442332,0.0175286298413918,258292978185.0,17171499881.0,241121478304.0,0.0712151401931544,154513661393.0,16965258388.0,9.107651522849295,9244131424.0,-14633916193.0,-7558349326.0,0.0696696090806049,20260327,58378,2658156,17962566,wics_local_fallback
그린리소스,402490,01370863,2025,IT,WICS 반도체와반도체장비,102155379135.0,18498939484.0,4.522228948494894,6032761230.0,1071726412.0,4.629012369623303,0.0590547583600821,10540367883.0,2405609515.0,3.381578896024611,0.1461916878281298,147237264962.0,75137626196.0,72099638766.0,1.0421359590976569,56470020972.0,66582014748.0,0.8481272485629651,-17941524218.0,-1133585066.0,18729175170.0,-0.1756297550840664,20260327,119979,11083547,7785779,wics_local_fallback
금호전기,001210,00106395,2025,IT,WICS 디스플레이,44337718233.0,53171559352.0,-0.1661384624911837,-1183567764.0,-4957267533.0,-0.7612459371778675,-0.0266943769586926,-3935952090.0,-13843864042.0,-0.7156897757693249,-0.3891197977646399,30776225371.0,20661211659.0,10115013712.0,2.04262814142194,17245721453.0,17700904685.0,0.974284747582098,4084262458.0,-421731798.0,-2322045764.0,0.092117109783068,20260327,31938,153256,40840854,wics_local_fallback
기가레인,049080,00377018,2025,IT,WICS 기술하드웨어와장비,40331425989.0,41689699551.0,-0.0325805553081137,-12476369703.0,-7351590541.0,0.6970980134732724,-0.3093461090714424,-11576835378.0,-6009261460.0,0.9264988643046994,-0.2648449153087294,95950653324.0,52238900865.0,43711752459.0,1.195076791167276,36185671838.0,25185242191.0,1.4367807767570735,-8867724201.0,-10186306807.0,10531130841.0,-0.2198713282148413,20260327,62281,2658156,57720675,wics_local_fallback
기가비스,420770,00765569,2025,IT,WICS 반도체와반도체장비,52434995936.0,,,12100818200.0,,,0.2307775176481326,15452197332.0,,,0.0732319999391056,239277069528.0,28273719287.0,211003350241.0,0.1339965420203368,184472267786.0,8167135152.0,22.58714522935569,25653570139.0,5194110689.0,-10140606400.0,0.4892452012452083,20260327,316387,11083547,4056242,wics_local_fallback
나노팀,417010,01524118,2025,IT,WICS 기술하드웨어와장비,40323638066.0,32391708805.0,0.2448752953649553,-501486673.0,-3762315186.0,-0.8667079582098575,-0.0124365433540294,997594250.0,-3706103503.0,-1.2691760360153115,0.0204059549073334,117668983925.0,68781575591.0,48887408334.0,1.4069384721947735,24443879099.0,15582069457.0,1.568718402036064,-390172421.0,-16942456483.0,27014299257.0,-0.0096760222964352,20260327,101703,2658156,9279454,wics_local_fallback
