stock_code,company_name,corp_code,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,wics_index_code,wics_index_name,wics_large_code,wics_large_name,market,data_provider
008970,KBI동양철관,00117629,20260327,138242,1649949,80938187,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
024840,KBI메탈,00158024,20260327,50521,6776021,23389163,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
105560,KB금융,00688996,20260327,44263314,546922,290823354,G4010,WICS 은행,G40,금융,KOSPI,wics_local_fallback
415640,KB발해인프라,01880801,20260327,1025265,308947,102938260,G2030,WICS 운송,G20,산업재,KOSPI,wics_local_fallback
432320,KB스타리츠,01622720,20260327,259737,20068,110057928,G4050,WICS 부동산,G40,금융,KOSPI,wics_local_fallback
024120,KB오토시스,00157539,20260327,24214,1375712,6440000,G2510,WICS 자동차와부품,G25,경기관련소비재,KOSPI,wics_local_fallback
464680,KB제27호스팩,01785551,20260327,24695,1158369,11872600,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
478390,KB제29호스팩,01816268,20260327,12420,1158369,5971200,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
486630,KB제30호스팩,01851650,20260327,10407,1158369,4991400,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
492220,KB제31호스팩,01866926,20260327,12409,1158369,6023700,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
0037T0,KB제32호스팩,,20260327,11436,1158369,5633700,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
0072Z0,KB제33호스팩,,20260327,14508,1158369,7254200,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
002380,KCC,00105271,20260327,2192737,6776021,4176641,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
021320,KCC건설,00105466,20260327,37846,6776021,5778000,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
344820,KCC글라스,01428203,20260327,230766,6776021,9103191,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
009070,KCTC,00103042,20260327,133836,308947,22800000,G2030,WICS 운송,G20,산업재,KOSPI,wics_local_fallback
044180,KD,00111218,20260320,5117,11014382,19236815,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
092220,KEC,00589127,20260327,249763,11083547,138526567,G4530,WICS 반도체와반도체장비,G45,IT,KOSPI,wics_local_fallback
